group,n,tau,held_out_miss,within_miss,gap
A10,10318,-9.125,0.2019771273502617,0.0527233960069781,0.1519771273502617
A18,10148,-9.125,0.2004335829720142,0.04946787544343713,0.1504335829720142
A19,10201,-9.0625,0.17870796980688167,0.04567731817290727,0.12870796980688165
A17,10239,-8.671875,0.06377575935149916,0.046875,0.013775759351499162
A08,10368,-8.578125,0.035590277777777776,0.04918981481481482,-0.014409722222222227
A12,10259,-8.546875,0.026903206940247587,0.05399610136452242,-0.023096793059752416
A15,10235,-8.484375,0.0126038104543234,0.047088706525986714,-0.037396189545676604
A11,10276,-8.484375,0.012164266251459712,0.05021409108602569,-0.03783573374854029
A16,10390,-8.453125,0.0052935514918190565,0.04427333974975938,-0.044706448508180945
A07,10238,-8.4375,0.001172103926548154,0.05040046884157062,-0.04882789607345185
A14,10234,-8.4375,0.00019542700801250732,0.051006449091264415,-0.0498045729919875
A09,10152,-8.4375,0.0,0.040780141843971635,-0.05
A13,10302,-8.4375,0.0,0.0401863715783343,-0.05
