,clean,mp3_128,mp3_64,mp3_32,mp3_16,mp3_8,noise_30,noise_20,noise_10,noise_5,noise_0,stream_full,stream_4s,stream_2s,stream_0.5s
A10,0.2019771273502617,0.24394262453963947,0.24791626284163598,0.3138205078503586,0.19509594882729211,0.19528978484202364,0.019189765458422176,0.004845900368288428,0.004458228338825354,0.0020352781546811396,0.004555146346191122,0.2019771273502617,0.20052335723977516,0.02093428959100601,0.0
A18,0.2004335829720142,0.17274339771383523,0.17215214820654315,0.16771777690185258,0.19333858888450925,0.1455459203783997,0.34213638155301535,0.39525029562475367,0.4025423728813559,0.4124950729207726,0.408060701616082,0.2004335829720142,0.20092629089475758,0.2701024832479306,0.24201813165155694
A19,0.17870796980688167,0.17566905205372021,0.16910106852269385,0.14586805215174983,0.16645426918929518,0.15655327909028527,0.18370747965885698,0.1524360356827762,0.12087050289187334,0.15469071659641212,0.2119400058817763,0.17870796980688167,0.18047250269581414,0.253112439956867,0.32624252524262326
A17,0.06377575935149916,0.05986912784451607,0.061236448871960156,0.0667057329817365,0.09571247192108605,0.11631995312042191,0.08868053520851646,0.16241820490282255,0.29670866295536674,0.2981736497704854,0.22414298271315558,0.06377575935149916,0.06504541459126868,0.16847348373864635,0.3344076569977537
A08,0.035590277777777776,0.033371913580246916,0.032407407407407406,0.022087191358024692,0.008487654320987654,0.011284722222222222,0.03279320987654321,0.030189043209876542,0.03211805555555555,0.006558641975308642,0.0027970679012345677,0.035590277777777776,0.035493827160493825,0.021026234567901234,0.0016396604938271604
A12,0.026903206940247587,0.02865776391461156,0.029437567014328883,0.02622087922799493,0.015401111219417098,0.012671800370406472,0.014621308119699776,0.003996490886051272,0.0026318354615459598,0.0014621308119699777,0.0037040647236572764,0.026903206940247587,0.026415830002924263,0.0013646554245053124,0.00019495077492933034
A15,0.0126038104543234,0.013385442110405472,0.013776257938446506,0.017586712261846604,0.008695652173913044,0.006350757205666829,0.002540302882266732,0.0019540791402051783,0.0017586712261846605,0.0019540791402051783,0.0030288226673180264,0.0126038104543234,0.012506106497313142,0.0014655593551538837,0.0
A11,0.012164266251459712,0.014207862981704943,0.016251459711950175,0.026372129233164655,0.037368625924484235,0.05488516932658622,0.007493188010899182,0.006033476060724017,0.004865706500583885,0.0028221097703386533,0.006811989100817439,0.012164266251459712,0.012066952121448035,0.0043791358505254965,0.0
A16,0.0052935514918190565,0.005774783445620789,0.005678537054860443,0.004908565928777671,0.0028873917228103944,0.002598652550529355,0.00712223291626564,0.003753609239653513,0.002694898941289702,0.0020211742059672764,0.0034648700673724736,0.0052935514918190565,0.0052935514918190565,0.002791145332050048,9.624639076034648e-05
A07,0.001172103926548154,0.0016604805626098847,0.0013674545809728462,0.0025395585075210004,0.0035163117796444617,0.008009376831412385,0.0008790779449111154,0.0007814026176987692,0.0012697792537605002,0.0016604805626098847,0.004395389724555577,0.001172103926548154,0.001172103926548154,0.0002930259816370385,0.0
A14,0.00019542700801250732,9.771350400625366e-05,0.000293140512018761,0.0008794215360562829,0.0021496970881375805,0.00293140512018761,0.0008794215360562829,0.0008794215360562829,0.0010748485440687902,0.0017588430721125659,0.003419972640218878,0.00019542700801250732,0.00019542700801250732,0.0,0.0
A09,0.0,0.0,0.0,0.0,0.0,0.0004925137903861308,0.000591016548463357,0.0006895193065405832,0.0007880220646178094,0.0010835303388494878,0.0022655634357762015,0.0,0.0,0.0,0.0
A13,0.0,0.0,0.0,9.706853038245001e-05,9.706853038245001e-05,0.00029120559114735004,0.00038827412152980003,0.00038827412152980003,0.0005824111822947001,0.0007765482430596001,0.0020384391380314504,0.0,0.0,0.0,0.0
