family,gap_pct,d_bona,cos_bona,d_near_spoof,d_mean_spoof,rel,bona_axis_proj,knn_bona_frac
A19,14.81060606060606,7.839451789855957,0.08055758476257324,11.848347663879395,26.99359130859375,0.6616493718997741,21.752399444580078,0.5472727272727272
A10,1.6771457085828387,29.866308212280273,1.5447078943252563,10.0340576171875,20.023012161254883,2.976493593291889,-5.35344123840332,0.0
A18,1.2906504065040665,19.346385955810547,0.40855324268341064,14.576369285583496,29.33199119567871,1.3272431273365688,18.133724212646484,0.014625228519195612
A08,1.1071428571428596,29.05742645263672,1.5471793413162231,13.1195068359375,19.886064529418945,2.2148261223540358,-4.880147933959961,0.0017889087656529517
A16,0.8928571428571457,26.64284324645996,1.247930034995079,12.596216201782227,21.267244338989258,2.115146550333924,-0.5579943060874939,0.0035714285714285713
A17,0.5742971887550212,15.01978874206543,0.2738741636276245,11.848347663879395,27.77060890197754,1.2676694816994962,19.471588134765625,0.016304347826086956
A11,0.2500000000000013,30.529884338378906,1.4694940149784088,12.533141136169434,21.612281799316406,2.4359323817293186,-4.834463119506836,0.0
A12,0.1757028112449806,25.84453582763672,1.4032842516899109,12.596216201782227,18.871173858642578,2.0517697865474873,-1.8358856439590454,0.0
A15,0.0742971887550206,26.94053077697754,1.4871864020824432,10.323195457458496,18.55805778503418,2.6097084849355476,-3.0832061767578125,0.0
A14,0.0,29.17378807067871,1.4699997007846832,10.323195457458496,20.561922073364258,2.8260424004275424,-4.159917831420898,0.0
A09,0.0,30.097902297973633,1.4841974973678589,13.1195068359375,21.38310432434082,2.2941336648057686,-4.806748390197754,0.0
A07,-0.0461847389558226,31.914844512939453,1.7972002625465393,10.0340576171875,19.392480850219727,3.1806519087823455,-9.299010276794434,0.0
A13,-0.083333333333333,36.85614776611328,1.6881950497627258,17.981565475463867,25.144948959350586,2.0496629070702483,-11.852302551269531,0.0
