layer,rho_d_bona,p_d_bona,rho_cos_bona,p_cos_bona
0,-0.545,0.054,-0.583,0.036
1,-0.575,0.04,-0.567,0.043
2,-0.622,0.023,-0.572,0.041
3,-0.622,0.023,-0.622,0.023
4,-0.655,0.015,-0.605,0.028
5,-0.616,0.025,-0.657,0.015
6,-0.616,0.025,-0.721,0.005
7,-0.735,0.004,-0.657,0.015
8,-0.721,0.005,-0.707,0.007
9,-0.666,0.013,-0.558,0.047
10,-0.583,0.036,-0.528,0.064
11,-0.561,0.046,-0.484,0.094
12,-0.575,0.04,-0.473,0.102
13,-0.556,0.049,-0.47,0.105
14,-0.556,0.049,-0.465,0.109
15,-0.556,0.049,-0.465,0.109
16,-0.468,0.107,-0.492,0.087
17,-0.547,0.053,-0.492,0.087
18,-0.726,0.005,-0.608,0.027
19,-0.597,0.031,-0.591,0.033
20,-0.558,0.047,-0.578,0.039
21,-0.572,0.041,-0.608,0.027
22,-0.481,0.096,-0.503,0.079
23,-0.413,0.161,-0.402,0.174
24,-0.413,0.161,-0.371,0.212
