condition,param,attack_id,eer_pct
clean,—,A07,8.369620477000952
clean,—,A08,3.0758226037196024
clean,—,A09,0.5305197901764425
clean,—,A10,27.524338787977126
clean,—,A11,11.505387417772688
clean,—,A12,15.030707515353757
clean,—,A13,0.43535045711798
clean,—,A14,3.4930853600381506
clean,—,A15,11.718721349550759
clean,—,A16,5.47674985593333
clean,—,A17,1.2244028817830133
clean,—,A18,2.827512852331147
clean,—,A19,1.425679838070932
mp3,bitrate_kbps=128,A07,7.886513741921738
mp3,bitrate_kbps=128,A08,2.7838190517616357
mp3,bitrate_kbps=128,A09,0.46032553407934984
mp3,bitrate_kbps=128,A10,26.89831469143151
mp3,bitrate_kbps=128,A11,10.55404155311648
mp3,bitrate_kbps=128,A12,13.97705943691345
mp3,bitrate_kbps=128,A13,0.3636146876490276
mp3,bitrate_kbps=128,A14,2.7241297091082473
mp3,bitrate_kbps=128,A15,10.741704563138692
mp3,bitrate_kbps=128,A16,5.312218101633757
mp3,bitrate_kbps=128,A17,1.219191299008859
mp3,bitrate_kbps=128,A18,2.5035765379113006
mp3,bitrate_kbps=128,A19,1.3200739241397519
mp3,bitrate_kbps=64,A07,7.632010943912447
mp3,bitrate_kbps=64,A08,2.6359286646367988
mp3,bitrate_kbps=64,A09,0.44566457501426204
mp3,bitrate_kbps=64,A10,26.794749318897498
mp3,bitrate_kbps=64,A11,10.495546928522495
mp3,bitrate_kbps=64,A12,13.842376881251026
mp3,bitrate_kbps=64,A13,0.3397711015736715
mp3,bitrate_kbps=64,A14,2.667602667602668
mp3,bitrate_kbps=64,A15,10.497392138446475
mp3,bitrate_kbps=64,A16,5.1584221297015045
mp3,bitrate_kbps=64,A17,1.2041010968049548
mp3,bitrate_kbps=64,A18,2.4995568161673463
mp3,bitrate_kbps=64,A19,1.2935783076868392
mp3,bitrate_kbps=32,A07,6.822089612622634
mp3,bitrate_kbps=32,A08,2.100028858747529
mp3,bitrate_kbps=32,A09,0.4887935145445832
mp3,bitrate_kbps=32,A10,26.510812063668066
mp3,bitrate_kbps=32,A11,10.387755461903334
mp3,bitrate_kbps=32,A12,12.762261673550896
mp3,bitrate_kbps=32,A13,0.3703076115572373
mp3,bitrate_kbps=32,A14,2.364049410762461
mp3,bitrate_kbps=32,A15,9.071220620606406
mp3,bitrate_kbps=32,A16,4.464711492608487
mp3,bitrate_kbps=32,A17,1.4209279887729147
mp3,bitrate_kbps=32,A18,2.377218618575809
mp3,bitrate_kbps=32,A19,1.4306151645207432
mp3,bitrate_kbps=16,A07,7.9850135938639735
mp3,bitrate_kbps=16,A08,2.4558893657606107
mp3,bitrate_kbps=16,A09,1.1201298701298685
mp3,bitrate_kbps=16,A10,30.367723817505478
mp3,bitrate_kbps=16,A11,15.521472392638035
mp3,bitrate_kbps=16,A12,14.737119283770737
mp3,bitrate_kbps=16,A13,0.8824545041750389
mp3,bitrate_kbps=16,A14,3.134317762317195
mp3,bitrate_kbps=16,A15,9.589576084641058
mp3,bitrate_kbps=16,A16,5.923624335972738
mp3,bitrate_kbps=16,A17,2.9208145939663437
mp3,bitrate_kbps=16,A18,4.266162948178772
mp3,bitrate_kbps=16,A19,3.094734498497163
mp3,bitrate_kbps=8,A07,8.590463610211037
mp3,bitrate_kbps=8,A08,6.46927017294035
mp3,bitrate_kbps=8,A09,4.69636941169759
mp3,bitrate_kbps=8,A10,29.312801295938485
mp3,bitrate_kbps=8,A11,13.31126438194135
mp3,bitrate_kbps=8,A12,12.459100532495027
mp3,bitrate_kbps=8,A13,3.2540933126813525
mp3,bitrate_kbps=8,A14,6.046913991016471
mp3,bitrate_kbps=8,A15,8.184958463710228
mp3,bitrate_kbps=8,A16,6.997005172883203
mp3,bitrate_kbps=8,A17,9.289596851044358
mp3,bitrate_kbps=8,A18,9.91399294473375
mp3,bitrate_kbps=8,A19,9.501840812465092
noise,snr_db=30,A07,9.50289829615317
noise,snr_db=30,A08,3.346185136712534
noise,snr_db=30,A09,0.9581263307310149
noise,snr_db=30,A10,27.25661237870558
noise,snr_db=30,A11,14.85259951694947
noise,snr_db=30,A12,14.726607891005617
noise,snr_db=30,A13,0.51859799713877
noise,snr_db=30,A14,4.50006627490832
noise,snr_db=30,A15,10.332881374692162
noise,snr_db=30,A16,5.075220473802525
noise,snr_db=30,A17,1.4246542680019125
noise,snr_db=30,A18,3.3937813598830546
noise,snr_db=30,A19,1.4484978540772575
noise,snr_db=20,A07,12.849381678472808
noise,snr_db=20,A08,5.500336033391108
noise,snr_db=20,A09,1.8009226401703338
noise,snr_db=20,A10,30.60835220777502
noise,snr_db=20,A11,20.86914396197117
noise,snr_db=20,A12,19.589267507239896
noise,snr_db=20,A13,0.5782069623271324
noise,snr_db=20,A14,7.8403513304055785
noise,snr_db=20,A15,13.424056189640035
noise,snr_db=20,A16,6.0263919271752195
noise,snr_db=20,A17,1.8857994912726952
noise,snr_db=20,A18,4.21555069813088
noise,snr_db=20,A19,2.1561207427615945
noise,snr_db=10,A07,19.930516781438055
noise,snr_db=10,A08,11.812511684029841
noise,snr_db=10,A09,6.009550027188692
noise,snr_db=10,A10,40.9230149007124
noise,snr_db=10,A11,31.758888771404564
noise,snr_db=10,A12,26.093220767403068
noise,snr_db=10,A13,1.9416630387461906
noise,snr_db=10,A14,15.46939327463413
noise,snr_db=10,A15,20.615642218804155
noise,snr_db=10,A16,10.220898485976669
