condition,param,eer,eer_pct,min_dcf,auc,threshold,delta_eer_pct
clean,—,0.09727995622512291,9.72799562251229,0.6636905418114222,0.9672757388687284,8.812418087585055,0.0
mp3,bitrate_kbps=128,0.09263308413680124,9.263308413680123,0.640751128324095,0.9698593642918586,8.54694072645301,-0.4646872088321666
mp3,bitrate_kbps=64,0.09190164314486918,9.190164314486918,0.6389831550142508,0.9702811467697835,8.449848868224803,-0.5378313080253729
mp3,bitrate_kbps=32,0.08508202803340845,8.508202803340845,0.6605033200561181,0.9721130122611839,5.730917199419063,-1.219792819171446
mp3,bitrate_kbps=16,0.0976190866069528,9.76190866069528,0.781417037601724,0.9615320317213478,-1.8880554807881254,0.03391303818298941
mp3,bitrate_kbps=8,0.10046281174345771,10.04628117434577,0.8949444397472935,0.945143282661911,-11.919743547174615,0.3182855518334804
noise,snr_db=30,0.10184080270554773,10.184080270554773,0.7017806705667873,0.9646824739984412,9.50823030051065,0.45608464804248183
noise,snr_db=20,0.12842976959012622,12.842976959012622,0.7355484006471691,0.9495532809080511,9.57496963605662,3.114981336500332
noise,snr_db=10,0.18001246505011959,18.00124650501196,0.9983071569897934,0.9027974965276289,8.027585266806955,8.273250882499667
noise,snr_db=5,0.20823147006418277,20.823147006418278,0.9990335781079364,0.8787308251278032,6.6364856493267075,11.095151383905986
noise,snr_db=0,0.2566903878921519,25.669038789215193,0.9993848926745417,0.8290885564010233,5.100900995901685,15.941043166702901
streaming,chunk_ms=None,0.09727995622512291,9.72799562251229,0.6636905418114222,0.9672757388687284,8.812418087585055,0.0
streaming,"chunk_ms=4000,overlap_ms=0",0.0975737324934715,9.75737324934715,0.6677249168917778,0.9670500606270026,8.741784907462804,0.029377626834858894
streaming,"chunk_ms=2000,overlap_ms=0",0.12497957416213214,12.497957416213215,0.9999403910348116,0.9420736468101805,7.51611157278026,2.769961793700923
streaming,"chunk_ms=2000,overlap_ms=200",0.12425823086696072,12.425823086696072,0.986513308262701,0.9429339306970994,7.491802153666782,2.6978274641837814
streaming,"chunk_ms=500,overlap_ms=0",0.12181950568342705,12.181950568342705,0.6941936170755764,0.9517142103844249,9.890250498295352,2.453954945830414
