layer,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19
0,0.4381038647342996,0.4991183179038967,0.4926773287429025,0.4250734605573315,0.48283065674370024,0.4273567045306175,0.48648648648648657,0.48490338164251207,0.4399154589371981,0.39764820884365476,0.49184782608695654,0.4884305130206769,0.4891139357461524
1,0.4667874396135266,0.4889630012969672,0.5054895013911408,0.4472375601407859,0.5011881446664056,0.4493814466640555,0.4837837837837838,0.4942632850241546,0.453804347826087,0.4309588612245159,0.49094202898550726,0.5017781247289445,0.5051476993743566
2,0.47463768115942023,0.5002859077811639,0.4997481267973072,0.4541460815654364,0.4915507899203552,0.4644437916177046,0.4885885885885886,0.5096618357487923,0.47222222222222227,0.4764932691877663,0.4858091787439614,0.4984320476123754,0.49636196246139225
3,0.4900362318840579,0.4913445013065507,0.4893629442809771,0.48109561174077314,0.5012044653349002,0.467451690821256,0.48258258258258263,0.5024154589371981,0.47373188405797095,0.4595129025869063,0.48278985507246364,0.49877733074454383,0.49211346057390243
4,0.47735507246376824,0.4952242219794402,0.5048973491596442,0.47600180825987287,0.502084149366758,0.4894323671497584,0.4906906906906907,0.4960748792270531,0.46105072463768115,0.46754227921210845,0.48762077294685985,0.49297924297924284,0.4945520181621393
5,0.49033816425120774,0.48419201502692966,0.5064085883758015,0.5080629016112886,0.49548243896069993,0.4830917874396136,0.4852852852852852,0.5021135265700484,0.4725241545893719,0.45919504980226034,0.4990942028985507,0.5039382293480654,0.5012275283123465
6,0.4906400966183575,0.4874567943827906,0.5052209478438986,0.4942910652588073,0.49905992949471206,0.4969512991252121,0.4867867867867867,0.48852657004830924,0.4876207729468598,0.46157016081114755,0.4870169082125602,0.5133959847074601,0.4912324120271377
7,0.49003623188405804,0.49703071192634757,0.4936447887267559,0.5017888856598534,0.49572561692126915,0.4978391434913174,0.4858858858858859,0.49969806763285024,0.481280193236715,0.486571917786339,0.4553140096618357,0.5057864115241165,0.48882025289723074
8,0.4698067632850241,0.5110609574556443,0.49816683013404334,0.4982014272336854,0.5000114244679463,0.49038875832354095,0.49909909909909905,0.5027173913043478,0.4930555555555555,0.48331352743117456,0.49094202898550715,0.5192174249551298,0.4815425279163696
9,0.4945652173913044,0.5116727042723247,0.493581403417469,0.5119894087636022,0.5045159289724507,0.5087707272489882,0.4951951951951952,0.5042270531400966,0.4830917874396136,0.4737891246430146,0.49516908212560384,0.4960784509964838,0.48760757371769486
10,0.4945652173913044,0.5042263239606694,0.4936130960721124,0.4829232458264716,0.49999347173260217,0.4921954563258912,0.4897897897897899,0.49335748792270534,0.46859903381642515,0.49047080546131777,0.46678743961352653,0.489031005424448,0.4881998891264751
11,0.49184782608695654,0.4982270523067487,0.4978749241044323,0.4939956085117376,0.5012142577359969,0.49006724115419775,0.4858858858858859,0.49516908212560384,0.477355072463768,0.4800168030718315,0.47493961352657005,0.4984987689905722,0.47668191177635233
12,0.4833937198067632,0.49616340508181117,0.4948340972931136,0.48921502147308593,0.4879602428515471,0.48827849588719147,0.4903903903903904,0.5039251207729468,0.4698067632850242,0.47615465215085706,0.4755434782608696,0.4924354637469392,0.46549556505900047
13,0.4897342995169082,0.5042071569585801,0.49088419170386377,0.5039265071523135,0.4810680245462855,0.490349588719154,0.4858858858858859,0.49124396135265697,0.4643719806763286,0.4746676122387698,0.4803743961352658,0.49634867257818077,0.467006876798395
